same_drug_overlap,same_scaffold_overlap,same_cell_line_overlap,same_drug_dose_overlap,same_drug_cell_line_dose_overlap,same_numeric_dose_overlap,dataset,seed,split_type,model_name,status
1.0,1.0,1.0,0.9330254041570438,0.0,1.0,sciplex3_24h_top2000,1,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,1,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,1,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9301310043668122,0.0,1.0,sciplex3_24h_top2000,2,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,2,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,2,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9384288747346072,0.0,1.0,sciplex3_24h_top2000,3,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,3,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,3,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.923963133640553,0.0,1.0,sciplex3_24h_top2000,4,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,4,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,4,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9384615384615385,0.0,1.0,sciplex3_24h_top2000,5,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,5,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,5,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9382422802850356,0.0,1.0,sciplex3_24h_top2000,6,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,6,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,6,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9308755760368663,0.0,1.0,sciplex3_24h_top2000,7,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,7,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,7,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9678217821782178,0.0,1.0,sciplex3_24h_top2000,8,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,8,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,8,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9484029484029484,0.0,1.0,sciplex3_24h_top2000,9,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,9,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,9,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
1.0,1.0,1.0,0.9258426966292135,0.0,1.0,sciplex3_24h_top2000,10,random,prnet_adapted_sciplex3,completed
0.0,0.0,1.0,0.0,0.0,1.0,sciplex3_24h_top2000,10,scaffold_heldout,prnet_adapted_sciplex3,completed
0.0,0.0,0.0,0.0,0.0,1.0,sciplex3_24h_top2000,10,cell_scaffold_heldout,prnet_adapted_sciplex3,completed
