baseline,control,seeds,mean_rowwise_pearson,rowwise_pearson_ci_low,rowwise_pearson_ci_high,mean_de_rowwise_pearson,de_rowwise_pearson_ci_low,de_rowwise_pearson_ci_high
drug_mean,actual_joint,100,0.17234422746119396,0.09636190882697693,0.2603871002655092,0.28844199260063524,0.15598128834479633,0.43152301763701767
drug_mean,composition_matched_random,100,0.28872739145206083,0.1851272775254213,0.3924530675047361,0.4643513669503708,0.3088575484269532,0.6186140828592559
drug_mean,size_matched_random,100,0.2866982918324075,0.25046572052568133,0.3176340611651667,0.46100659803665645,0.41519023054651916,0.49875825455670975
global_train_mean,actual_joint,100,0.17234422746119396,0.09636190882697693,0.2603871002655092,0.28844199260063524,0.15598128834479633,0.43152301763701767
global_train_mean,composition_matched_random,100,0.2424072188425284,0.13987993796292095,0.3453618182350486,0.3874215429493743,0.23446539440525407,0.5385255639700572
global_train_mean,size_matched_random,100,0.23276770129302593,0.20049307585535575,0.2606988512823783,0.37391437703939495,0.3246492385088842,0.4225474983587707
ridge_cell_drug_fp,actual_joint,100,0.11835462392412704,0.057260507784594135,0.18409832255803377,0.2090615969991763,0.10270613124171554,0.31890821837080074
ridge_cell_drug_fp,composition_matched_random,100,0.36758911894761803,0.24650928915146814,0.4692744793419238,0.5761698782376128,0.4186617854734063,0.6943377533319137
ridge_cell_drug_fp,size_matched_random,100,0.36228660304820737,0.33125502518978744,0.394230803444019,0.569170423187891,0.5353902703660209,0.6076604077036646
